"sessionid","applicationid","starttime","endtime","category","use","item","count","time"
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","change thematic map","Land Conservation",5,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","change thematic map","Natural Resource Protection",6,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","change thematic map","Water Resource Protection",3,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","change thematic map","Wetlands",3,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","change thematic map","Zones and Districts",1,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","change thematic map","Topography",1,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","change thematic map","Land Use",1,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map","change thematic map transparency",,10,
8,"GrotonMA","2011-08-01 16:57:50.289+00","2011-08-01 17:41:01.284+00","map tip","show tip",,7,622
9,"GrotonMA","2011-08-01 17:57:30.301+00","2011-08-01 17:58:01.689+00","search","enter criteria",,5,
9,"GrotonMA","2011-08-01 17:57:30.301+00","2011-08-01 17:58:01.689+00","search","perform search",,5,343
10,"GrotonMA","2011-08-01 17:58:27.14+00","2011-08-01 18:05:43.745+00","property info","select parcel on map",,7,1000
10,"GrotonMA","2011-08-01 17:58:27.14+00","2011-08-01 18:05:43.745+00","property info","get property data",,9,1142
10,"GrotonMA","2011-08-01 17:58:27.14+00","2011-08-01 18:05:43.745+00","property info","open panel",,5,
10,"GrotonMA","2011-08-01 17:58:27.14+00","2011-08-01 18:05:43.745+00","selection","select parcels",,9,1276
10,"GrotonMA","2011-08-01 17:58:27.14+00","2011-08-01 18:05:43.745+00","selection","find abutters",,2,405
10,"GrotonMA","2011-08-01 17:58:27.14+00","2011-08-01 18:05:43.745+00","search","open panel",,2,
10,"GrotonMA","2011-08-01 17:58:27.14+00","2011-08-01 18:05:43.745+00","search","enter criteria",,10,
10,"GrotonMA","2011-08-01 17:58:27.14+00","2011-08-01 18:05:43.745+00","search","perform search",,10,1761
10,"GrotonMA","2011-08-01 17:58:27.14+00","2011-08-01 18:05:43.745+00","search","select property",,1,
10,"GrotonMA","2011-08-01 17:58:27.14+00","2011-08-01 18:05:43.745+00","search","select multiple properties",,1,
10,"GrotonMA","2011-08-01 17:58:27.14+00","2011-08-01 18:05:43.745+00","map tip","show tip",,1,47
10,"GrotonMA","2011-08-01 17:58:27.14+00","2011-08-01 18:05:43.745+00","abutters","open panel",,1,
10,"GrotonMA","2011-08-01 17:58:27.14+00","2011-08-01 18:05:43.745+00","abutters","remove from list",,3,
10,"GrotonMA","2011-08-01 17:58:27.14+00","2011-08-01 18:05:43.745+00","abutters","change distance",,1,
11,"GrotonMA","2011-08-01 18:03:51.787+00","2011-08-01 18:07:10.728+00","search","enter criteria",,9,
11,"GrotonMA","2011-08-01 18:03:51.787+00","2011-08-01 18:07:10.728+00","search","perform search",,10,688
11,"GrotonMA","2011-08-01 18:03:51.787+00","2011-08-01 18:07:10.728+00","search","select property",,2,
11,"GrotonMA","2011-08-01 18:03:51.787+00","2011-08-01 18:07:10.728+00","search","sort",,1,
11,"GrotonMA","2011-08-01 18:03:51.787+00","2011-08-01 18:07:10.728+00","selection","select parcels",,2,133
11,"GrotonMA","2011-08-01 18:03:51.787+00","2011-08-01 18:07:10.728+00","property info","get property data",,2,125
11,"GrotonMA","2011-08-01 18:03:51.787+00","2011-08-01 18:07:10.728+00","property info","open panel",,1,
12,"GrotonMA","2011-08-01 18:19:58.02+00","2011-08-01 18:23:03.088+00","search","enter criteria",,2,
12,"GrotonMA","2011-08-01 18:19:58.02+00","2011-08-01 18:23:03.088+00","search","perform search",,2,154
12,"GrotonMA","2011-08-01 18:19:58.02+00","2011-08-01 18:23:03.088+00","property info","select parcel on map",,14,837
12,"GrotonMA","2011-08-01 18:19:58.02+00","2011-08-01 18:23:03.088+00","property info","get property data",,14,1225
12,"GrotonMA","2011-08-01 18:19:58.02+00","2011-08-01 18:23:03.088+00","property info","open panel",,1,
12,"GrotonMA","2011-08-01 18:19:58.02+00","2011-08-01 18:23:03.088+00","selection","select parcels",,14,1007
12,"GrotonMA","2011-08-01 18:19:58.02+00","2011-08-01 18:23:03.088+00","map tip","show tip",,12,1506
13,"GrotonMA","2011-08-01 18:24:27.599+00","2011-08-01 18:28:25.564+00","search","enter criteria",,1,
13,"GrotonMA","2011-08-01 18:24:27.599+00","2011-08-01 18:28:25.564+00","search","perform search",,2,327
13,"GrotonMA","2011-08-01 18:24:27.599+00","2011-08-01 18:28:25.564+00","search","change page",,1,
13,"GrotonMA","2011-08-01 18:24:27.599+00","2011-08-01 18:28:25.564+00","search","select property",,1,
13,"GrotonMA","2011-08-01 18:24:27.599+00","2011-08-01 18:28:25.564+00","selection","select parcels",,3,578
13,"GrotonMA","2011-08-01 18:24:27.599+00","2011-08-01 18:28:25.564+00","property info","get property data",,3,1172
13,"GrotonMA","2011-08-01 18:24:27.599+00","2011-08-01 18:28:25.564+00","property info","open panel",,2,
13,"GrotonMA","2011-08-01 18:24:27.599+00","2011-08-01 18:28:25.564+00","property info","select parcel on map",,2,578
13,"GrotonMA","2011-08-01 18:24:27.599+00","2011-08-01 18:28:25.564+00","map tip","show tip",,1,297
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","property info","select parcel on map",,54,7909
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","property info","get property data",,59,5554
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","property info","open panel",,7,
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","selection","select parcels",,59,6381
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","selection","find abutters",,12,53556
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","selection","add abutter",,1,78
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","abutters","open panel",,5,
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","abutters","remove from list",,2,
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","abutters","change distance",,1,
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","map tip","show tip",,23,1668
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","map tip","select parcel",,5,
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","map tip","add abutter",,1,
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","map","change base map","Aerial Photo",1,
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","map","pick measure area tool",,1,
14,"GrotonMA","2011-08-01 18:13:47.564+00","2011-08-01 18:26:53.914+00","map","pick identify tool",,2,
15,"GrotonMA","2011-08-01 18:28:29.423+00","2011-08-01 18:37:35.621+00","search","enter criteria",,1,
15,"GrotonMA","2011-08-01 18:28:29.423+00","2011-08-01 18:37:35.621+00","search","perform search",,2,312
15,"GrotonMA","2011-08-01 18:28:29.423+00","2011-08-01 18:37:35.621+00","search","change page",,1,
15,"GrotonMA","2011-08-01 18:28:29.423+00","2011-08-01 18:37:35.621+00","search","select property",,1,
15,"GrotonMA","2011-08-01 18:28:29.423+00","2011-08-01 18:37:35.621+00","selection","select parcels",,1,187
15,"GrotonMA","2011-08-01 18:28:29.423+00","2011-08-01 18:37:35.621+00","property info","get property data",,1,828
15,"GrotonMA","2011-08-01 18:28:29.423+00","2011-08-01 18:37:35.621+00","property info","open panel",,1,
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","search","enter criteria",,9,
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","search","perform search",,9,982
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","search","select multiple properties",,1,
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","search","select property",,4,
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","selection","select parcels",,9,1311
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","selection","find abutters",,1,78
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","property info","get property data",,9,1876
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","property info","open panel",,5,
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","property info","select parcel on map",,4,266
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","map tip","show tip",,6,375
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","abutters","open panel",,1,
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","abutters","export spreadsheet",,1,
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","map","change base map","Aerial Photo",1,
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","map","change thematic map","Zones and Districts",1,
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","map","change thematic map","Hazard Mitigation",1,
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","map","change thematic map","Natural Resource Protection",2,
16,"GrotonMA","2011-08-01 18:46:15.238+00","2011-08-01 18:51:48.895+00","map","change thematic map","Water Resource Protection",1,
17,"GrotonMA","2011-08-01 19:01:32.421+00","2011-08-01 19:02:11.875+00","property info","select parcel on map",,5,782
17,"GrotonMA","2011-08-01 19:01:32.421+00","2011-08-01 19:02:11.875+00","property info","get property data",,5,844
17,"GrotonMA","2011-08-01 19:01:32.421+00","2011-08-01 19:02:11.875+00","property info","open panel",,1,
17,"GrotonMA","2011-08-01 19:01:32.421+00","2011-08-01 19:02:11.875+00","selection","select parcels",,5,1141
17,"GrotonMA","2011-08-01 19:01:32.421+00","2011-08-01 19:02:11.875+00","map tip","show tip",,2,94
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","search","enter criteria",,8,
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","search","perform search",,8,2029
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","search","select property",,2,
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","search","open panel",,2,
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","selection","select parcels",,5,766
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","property info","get property data",,5,3282
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","property info","open panel",,4,
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","property info","select parcel on map",,3,499
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","map tip","show tip",,15,857
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","map","change base map","Aerial Photo",2,
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","map","change base map","OpenStreetMap",1,
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","map","change base map","MapQuest",1,
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","map","change base map","Base Map",1,
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","map","change thematic map","Topography",1,
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","map","change thematic map","none",1,
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","map","show legend",,2,
18,"GrotonMA","2011-08-01 18:45:35.578+00","2011-08-01 19:01:27.046+00","map","show printable map form",,1,
19,"GrotonMA","2011-08-01 19:03:55.578+00","2011-08-01 19:04:30.739+00","search","enter criteria",,5,
19,"GrotonMA","2011-08-01 19:03:55.578+00","2011-08-01 19:04:30.739+00","search","perform search",,5,1281
19,"GrotonMA","2011-08-01 19:03:55.578+00","2011-08-01 19:04:30.739+00","search","select property",,1,
19,"GrotonMA","2011-08-01 19:03:55.578+00","2011-08-01 19:04:30.739+00","selection","select parcels",,1,610
19,"GrotonMA","2011-08-01 19:03:55.578+00","2011-08-01 19:04:30.739+00","property info","get property data",,1,328
19,"GrotonMA","2011-08-01 19:03:55.578+00","2011-08-01 19:04:30.739+00","property info","open panel",,1,
20,"GrotonMA","2011-08-01 19:36:00.859+00","2011-08-01 19:42:47.093+00","search","enter criteria",,4,
20,"GrotonMA","2011-08-01 19:36:00.859+00","2011-08-01 19:42:47.093+00","search","perform search",,4,1548
20,"GrotonMA","2011-08-01 19:36:00.859+00","2011-08-01 19:42:47.093+00","property info","select parcel on map",,13,7765
20,"GrotonMA","2011-08-01 19:36:00.859+00","2011-08-01 19:42:47.093+00","property info","get property data",,12,7125
20,"GrotonMA","2011-08-01 19:36:00.859+00","2011-08-01 19:42:47.093+00","property info","open panel",,2,
20,"GrotonMA","2011-08-01 19:36:00.859+00","2011-08-01 19:42:47.093+00","selection","select parcels",,13,8265
20,"GrotonMA","2011-08-01 19:36:00.859+00","2011-08-01 19:42:47.093+00","map tip","show tip",,14,2973
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","search","enter criteria",,3,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","search","perform search",,3,296
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","search","select property",,2,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","selection","select parcels",,5,671
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","selection","find abutters",,1,296
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","property info","get property data",,5,2044
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","property info","open panel",,5,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","property info","select parcel on map",,3,342
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","map tip","show tip",,11,1108
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","map","change thematic map","Land Use",3,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","map","change thematic map","Zones and Districts",2,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","map","change thematic map","Topography",1,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","map","change thematic map","Hazard Mitigation",1,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","map","change thematic map","Land Conservation",2,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","map","change thematic map","Natural Resource Protection",1,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","map","change thematic map","Water Resource Protection",1,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","map","change thematic map","Wetlands",2,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","map","show legend",,1,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","map","change base map","OpenStreetMap",1,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","map","change base map","Aerial Photo",1,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","map","change base map","Base Map",1,
21,"GrotonMA","2011-08-01 19:38:34.614+00","2011-08-01 19:52:28.467+00","abutters","open panel",,1,
22,"GrotonMA","2011-08-01 20:09:16.837+00","2011-08-01 20:10:14.051+00","search","enter criteria",,2,
22,"GrotonMA","2011-08-01 20:09:16.837+00","2011-08-01 20:10:14.051+00","search","perform search",,2,744
22,"GrotonMA","2011-08-01 20:09:16.837+00","2011-08-01 20:10:14.051+00","search","select property",,1,
22,"GrotonMA","2011-08-01 20:09:16.837+00","2011-08-01 20:10:14.051+00","selection","select parcels",,1,41
22,"GrotonMA","2011-08-01 20:09:16.837+00","2011-08-01 20:10:14.051+00","property info","get property data",,1,362
22,"GrotonMA","2011-08-01 20:09:16.837+00","2011-08-01 20:10:14.051+00","property info","open panel",,1,
23,"GrotonMA","2011-08-01 20:13:13.013+00","2011-08-01 20:13:27.007+00","client info","open panel",,1,
25,"GrotonMA","2011-08-01 20:17:12.081+00","2011-08-01 20:18:31.429+00","search","enter criteria",,2,
25,"GrotonMA","2011-08-01 20:17:12.081+00","2011-08-01 20:18:31.429+00","search","perform search",,2,102
25,"GrotonMA","2011-08-01 20:17:12.081+00","2011-08-01 20:18:31.429+00","search","select property",,1,
25,"GrotonMA","2011-08-01 20:17:12.081+00","2011-08-01 20:18:31.429+00","selection","select parcels",,1,43
25,"GrotonMA","2011-08-01 20:17:12.081+00","2011-08-01 20:18:31.429+00","property info","get property data",,1,319
27,"GrotonMA","2011-08-01 20:36:46.347+00","2011-08-01 20:39:54.787+00","search","enter criteria",,4,
27,"GrotonMA","2011-08-01 20:36:46.347+00","2011-08-01 20:39:54.787+00","search","perform search",,4,798
27,"GrotonMA","2011-08-01 20:36:46.347+00","2011-08-01 20:39:54.787+00","search","select property",,1,
27,"GrotonMA","2011-08-01 20:36:46.347+00","2011-08-01 20:39:54.787+00","selection","select parcels",,1,312
27,"GrotonMA","2011-08-01 20:36:46.347+00","2011-08-01 20:39:54.787+00","property info","get property data",,1,3813
27,"GrotonMA","2011-08-01 20:36:46.347+00","2011-08-01 20:39:54.787+00","property info","open panel",,1,
29,"GrotonMA","2011-08-01 18:53:23.406+00","2011-08-01 21:30:07.218+00","search","enter criteria",,1,
29,"GrotonMA","2011-08-01 18:53:23.406+00","2011-08-01 21:30:07.218+00","search","perform search",,1,187
29,"GrotonMA","2011-08-01 18:53:23.406+00","2011-08-01 21:30:07.218+00","search","select property",,2,
29,"GrotonMA","2011-08-01 18:53:23.406+00","2011-08-01 21:30:07.218+00","selection","select parcels",,3,985
29,"GrotonMA","2011-08-01 18:53:23.406+00","2011-08-01 21:30:07.218+00","property info","get property data",,3,2827
29,"GrotonMA","2011-08-01 18:53:23.406+00","2011-08-01 21:30:07.218+00","property info","select parcel on map",,1,62
29,"GrotonMA","2011-08-01 18:53:23.406+00","2011-08-01 21:30:07.218+00","map tip","show tip",,3,219
29,"GrotonMA","2011-08-01 18:53:23.406+00","2011-08-01 21:30:07.218+00","map","change base map","Aerial Photo",1,
29,"GrotonMA","2011-08-01 18:53:23.406+00","2011-08-01 21:30:07.218+00","map","change thematic map","Wetlands",2,
29,"GrotonMA","2011-08-01 18:53:23.406+00","2011-08-01 21:30:07.218+00","map","change thematic map","Natural Resource Protection",1,
29,"GrotonMA","2011-08-01 18:53:23.406+00","2011-08-01 21:30:07.218+00","map","change thematic map","Water Resource Protection",2,
29,"GrotonMA","2011-08-01 18:53:23.406+00","2011-08-01 21:30:07.218+00","map","change thematic map","Zones and Districts",1,
29,"GrotonMA","2011-08-01 18:53:23.406+00","2011-08-01 21:30:07.218+00","map","show legend",,1,
30,"GrotonMA","2011-08-01 23:14:23.327+00","2011-08-01 23:16:57.651+00","search","enter criteria",,5,
30,"GrotonMA","2011-08-01 23:14:23.327+00","2011-08-01 23:16:57.651+00","search","perform search",,7,607
30,"GrotonMA","2011-08-01 23:14:23.327+00","2011-08-01 23:16:57.651+00","search","change page",,2,
30,"GrotonMA","2011-08-01 23:14:23.327+00","2011-08-01 23:16:57.651+00","search","select property",,1,
30,"GrotonMA","2011-08-01 23:14:23.327+00","2011-08-01 23:16:57.651+00","selection","select parcels",,1,44
30,"GrotonMA","2011-08-01 23:14:23.327+00","2011-08-01 23:16:57.651+00","property info","get property data",,1,88
30,"GrotonMA","2011-08-01 23:14:23.327+00","2011-08-01 23:16:57.651+00","property info","open panel",,1,
31,"GrotonMA","2011-08-01 23:17:27.073+00","2011-08-01 23:25:21.921+00","search","open panel",,2,
31,"GrotonMA","2011-08-01 23:17:27.073+00","2011-08-01 23:25:21.921+00","search","enter criteria",,8,
31,"GrotonMA","2011-08-01 23:17:27.073+00","2011-08-01 23:25:21.921+00","search","perform search",,8,875
31,"GrotonMA","2011-08-01 23:17:27.073+00","2011-08-01 23:25:21.921+00","search","select property",,2,
31,"GrotonMA","2011-08-01 23:17:27.073+00","2011-08-01 23:25:21.921+00","selection","select parcels",,12,1108
31,"GrotonMA","2011-08-01 23:17:27.073+00","2011-08-01 23:25:21.921+00","selection","find abutters",,2,389
31,"GrotonMA","2011-08-01 23:17:27.073+00","2011-08-01 23:25:21.921+00","property info","get property data",,12,1077
31,"GrotonMA","2011-08-01 23:17:27.073+00","2011-08-01 23:25:21.921+00","property info","open panel",,2,
31,"GrotonMA","2011-08-01 23:17:27.073+00","2011-08-01 23:25:21.921+00","property info","select parcel on map",,9,1077
31,"GrotonMA","2011-08-01 23:17:27.073+00","2011-08-01 23:25:21.921+00","map tip","show tip",,15,795
31,"GrotonMA","2011-08-01 23:17:27.073+00","2011-08-01 23:25:21.921+00","map tip","select parcel",,1,
31,"GrotonMA","2011-08-01 23:17:27.073+00","2011-08-01 23:25:21.921+00","abutters","open panel",,1,
31,"GrotonMA","2011-08-01 23:17:27.073+00","2011-08-01 23:25:21.921+00","map","pick identify tool",,3,
32,"GrotonMA","2011-08-02 03:01:10.132+00","2011-08-02 03:03:41.078+00","search","enter criteria",,1,
32,"GrotonMA","2011-08-02 03:01:10.132+00","2011-08-02 03:03:41.078+00","search","perform search",,1,736
32,"GrotonMA","2011-08-02 03:01:10.132+00","2011-08-02 03:03:41.078+00","search","select property",,1,
32,"GrotonMA","2011-08-02 03:01:10.132+00","2011-08-02 03:03:41.078+00","selection","select parcels",,1,948
32,"GrotonMA","2011-08-02 03:01:10.132+00","2011-08-02 03:03:41.078+00","property info","get property data",,1,181
32,"GrotonMA","2011-08-02 03:01:10.132+00","2011-08-02 03:03:41.078+00","property info","open panel",,1,
32,"GrotonMA","2011-08-02 03:01:10.132+00","2011-08-02 03:03:41.078+00","map tip","show tip",,1,300
